"pitch_type","pitch_id","game_date","start_speed","x0","z0","player_name","batter","pitcher","events","description","spin_dir","spin_rate","break_angle","break_length","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","px","pz","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs","tfs_zulu","catcher","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","hit_speed","hit_angle","effective_speed","release_spin_rate","release_extension","game_pk"
"FF",16,"2016-06-01","90.61     ","2.259","5.473","Corey Seager","608369","452657","Single","Ball","187.233   ","1408.407  ","9.2       ","4.8       ","13","Corey Seager singles on a ground ball to right fielder Jason Heyward, deflected by first baseman Anthony Rizzo.  ","R ","L","L","CHC","LAD","B",9,4,1,0,2016,"-0.9                  ","7.09                ","-2.214","0.824               ","null","null","null",1,1,"top","181.4200","117.3900","001318","2016-06-02T00:13:18Z","424325","482641","160601_191404","-11.35","-131.03             ","-8.37","-1.60","22.97","-19.56","3.47","1.57","null","null","null","90.62","2508.00","6.32",447659
"FF",18,"2016-06-01","93.01     ","2.39","5.486","Corey Seager","608369","452657","Single","Called Strike","156.577   ","2271.111  ","-24.0     ","3.5       ","4 ","Corey Seager singles on a ground ball to right fielder Jason Heyward, deflected by first baseman Anthony Rizzo.  ","R ","L","L","CHC","LAD","S",9,4,3,0,2016,"4.59                  ","10.55               ","-0.4","2.152               ","null","null","null",1,1,"top","181.4200","117.3900","001401","2016-06-02T00:14:01Z","424325","482641","160601_191446","-9.00","-135.218            ","-6.47","8.42","32.00","-12.75","3.37","1.34","null","null","null","93.36","2370.00","6.81",447659
"FF",20,"2016-06-01","93.81     ","2.355","5.502","Corey Seager","608369","452657","Single","Foul","159.067   ","2323.976  ","-22.5     ","3.2       ","7 ","Corey Seager singles on a ground ball to right fielder Jason Heyward, deflected by first baseman Anthony Rizzo.  ","R ","L","L","CHC","LAD","S",9,4,3,2,2016,"4.19                  ","10.91               ","-0.691","2.165               ","null","null","null",1,1,"top","181.4200","117.3900","001432","2016-06-02T00:14:32Z","424325","482641","160601_191519","-9.62","-136.264            ","-6.74","7.80","32.63","-11.79","3.58","1.57","null","null","null","93.06","2361.00","6.23",447659
"FF",21,"2016-06-01","94.23     ","2.418","5.494","Corey Seager","608369","452657","Single","Foul","146.348   ","2208.146  ","-31.5     ","4.0       ","5 ","Corey Seager singles on a ground ball to right fielder Jason Heyward, deflected by first baseman Anthony Rizzo.  ","R ","L","L","CHC","LAD","S",9,4,3,2,2016,"6.03                  ","9.02                ","-0.058","2.369               ","null","null","null",1,1,"top","181.4200","117.3900","001456","2016-06-02T00:14:56Z","424325","482641","160601_191543","-8.86","-137.376            ","-5.77","11.59","28.97","-14.77","3.58","1.57","null","null","null","94.44","2360.00","6.33",447659
"FF",15,"2016-06-01","94.06     ","2.145","5.428","Corey Seager","608369","452657","Single","Ball","158.544   ","2473.642  ","-22.9     ","3.0       ","13","Corey Seager singles on a ground ball to right fielder Jason Heyward, deflected by first baseman Anthony Rizzo.  ","R ","L","L","CHC","LAD","B",9,4,0,0,2016,"4.54                  ","11.51               ","-2.66","1.331               ","null","null","null",1,1,"top","181.4200","117.3900","001301","2016-06-02T00:13:01Z","424325","482641","160601_191348","-14.47","-136.023            ","-9.02","8.48","30.50","-10.59","3.53","1.57","null","null","null","93.68","2281.00","6.50",447659
"FF",17,"2016-06-01","93.40     ","2.321","5.398","Corey Seager","608369","452657","Single","Ball","160.433   ","2581.459  ","-26.6     ","2.8       ","13","Corey Seager singles on a ground ball to right fielder Jason Heyward, deflected by first baseman Anthony Rizzo.  ","R ","L","L","CHC","LAD","B",9,4,2,0,2016,"4.34                  ","12.16               ","-1.39","1.132               ","null","null","null",1,1,"top","181.4200","117.3900","001339","2016-06-02T00:13:39Z","424325","482641","160601_191425","-11.42","-134.989            ","-9.61","8.05","27.89","-9.54","3.50","1.57","null","null","null","92.92","2375.00","6.33",447659
"FF",19,"2016-06-01","93.58     ","2.289","5.523","Corey Seager","608369","452657","Single","Called Strike","160.071   ","2589.519  ","-28.4     ","2.8       ","13","Corey Seager singles on a ground ball to right fielder Jason Heyward, deflected by first baseman Anthony Rizzo.  ","R ","L","L","CHC","LAD","S",9,4,3,1,2016,"4.43                  ","12.18               ","-0.851","1.628               ","null","null","null",1,1,"top","181.4200","117.3900","001415","2016-06-02T00:14:15Z","424325","482641","160601_191502","-9.95","-135.673            ","-8.67","8.26","29.92","-9.41","3.50","1.57","null","null","null","93.86","2351.00","6.71",447659
"FC",22,"2016-06-01","90.23     ","2.523","5.602","Corey Seager","608369","452657","Single","In play, no out","189.259   ","1489.519  ","9.3       ","4.6       ","5 ","Corey Seager singles on a ground ball to right fielder Jason Heyward, deflected by first baseman Anthony Rizzo.  ","R ","L","L","CHC","LAD","X",9,4,3,2,2016,"-1.23                 ","7.47                ","-0.034","2.45                ","null","null","null",1,1,"top","181.4200","117.3900","001522","2016-06-02T00:15:22Z","424325","482641","160601_191603","-6.25","-131.094            ","-4.59","-2.17","23.62","-18.89","3.58","1.57","255.11","98.96","4.53                ","90.16","2507.00","6.09",447659
"FC",209,"2016-06-01","88.91     ","2.481","5.691","Corey Seager","608369","452657","Strikeout","Foul","186.351   ","1453.402  ","7.9       ","4.7       ","4 ","Corey Seager strikes out swinging.  ","R ","L","L","CHC","LAD","S",0,0,1,0,2016,"-0.84                 ","7.47                ","-0.506","2.899               ","null","null","null",0,4,"top","0.0000","0.0000","011125","2016-06-02T01:11:25Z","424325","482641","160601_201212","-7.39","-129.543            ","-3.42","-1.44","24.61","-19.28","3.58","1.57","null","null","null","89.20","2367.00","6.27",447659
"CU",211,"2016-06-01","76.66     ","2.482","5.846","Corey Seager","608369","452657","Strikeout","Ball","274.235   ","1018.602  ","14.6      ","11.2      ","13","Corey Seager strikes out swinging.  ","R ","L","L","CHC","LAD","B",0,0,1,2,2016,"-6.27                 ","-0.52               ","-0.867","0.827               ","null","null","null",0,4,"top","0.0000","0.0000","011204","2016-06-02T01:12:04Z","424325","482641","160601_201250","-5.56","-111.67             ","-3.54","-7.82","22.51","-32.75","3.58","1.57","null","null","null","75.47","2659.00","5.66",447659
"CU",208,"2016-06-01","74.97     ","2.464","6.022","Corey Seager","608369","452657","Strikeout","Ball","316.141   ","700.225   ","7.5       ","12.2      ","11","Corey Seager strikes out swinging.  ","R ","L","L","CHC","LAD","B",0,0,0,0,2016,"-3.05                 ","-3.23               ","-1.137","2.574               ","null","null","null",0,4,"top","0.0000","0.0000","011112","2016-06-02T01:11:12Z","424325","482641","160601_201159","-6.88","-108.962            ","0.97","-3.64","20.01","-35.97","3.47","1.57","null","null","null","73.80","2515.00","5.67",447659
"FF",210,"2016-06-01","92.89     ","2.298","5.485","Corey Seager","608369","452657","Strikeout","Called Strike","152.624   ","2433.196  ","-30.6     ","3.5       ","13","Corey Seager strikes out swinging.  ","R ","L","L","CHC","LAD","S",0,0,1,1,2016,"5.66                  ","10.89               ","-1.047","2.131               ","null","null","null",0,4,"top","0.0000","0.0000","011145","2016-06-02T01:11:45Z","424325","482641","160601_201231","-10.86","-135.082            ","-6.66","10.42","30.60","-12.06","3.56","1.53","null","null","null","92.77","2269.00","6.40",447659
"FC",212,"2016-06-01","88.43     ","2.396","5.551","Corey Seager","608369","452657","Strikeout","Swinging Strike","167.844   ","896.814   ",".1        ","6.0       ","13","Corey Seager strikes out swinging.  ","R ","L","L","CHC","LAD","S",0,0,2,2,2016,"0.98                  ","4.52                ","-1.607","1.508               ","null","null","null",0,4,"top","0.0000","0.0000","011226","2016-06-02T01:12:26Z","424325","482641","160601_201312","-10.57","-128.894            ","-5.59","1.68","23.30","-24.39","3.58","1.57","null","null","null","88.69","0.00","6.16",447659
"FF",316,"2016-06-01","94.23     ","2.39","5.423","Corey Seager","608369","452657","Strikeout","Foul","154.470   ","2499.696  ","-33.0     ","3.2       ","7 ","Corey Seager strikes out swinging.  ","R ","L","L","CHC","LAD","S",0,0,1,0,2016,"5.39                  ","11.24               ","-0.305","2.182               ","null","null","null",1,6,"top","0.0000","0.0000","014434","2016-06-02T01:44:34Z","424325","482641","160601_204522","-9.15","-136.891            ","-6.72","10.17","31.76","-10.89","3.58","1.57","null","null","null","94.01","2409.00","6.42",447659
"FF",317,"2016-06-01","95.07     ","2.288","5.372","Corey Seager","608369","452657","Strikeout","Called Strike","146.865   ","2402.663  ","-35.1     ","3.8       ","7 ","Corey Seager strikes out swinging.  ","R ","L","L","CHC","LAD","S",0,0,1,1,2016,"6.47                  ","9.88                ","-0.566","1.674               ","null","null","null",1,6,"top","0.0000","0.0000","014456","2016-06-02T01:44:56Z","424325","482641","160601_204542","-10.08","-138.089            ","-7.70","12.50","30.67","-13.02","3.56","1.57","null","null","null","94.81","2289.00","6.25",447659
"CU",318,"2016-06-01","77.19     ","2.482","5.853","Corey Seager","608369","452657","Strikeout","Swinging Strike","286.314   ","782.314   ","10.8      ","11.0      ","8 ","Corey Seager strikes out swinging.  ","R ","L","L","CHC","LAD","S",0,0,1,2,2016,"-4.57                 ","-1.39               ","0.042","1.959               ","null","null","null",1,6,"top","0.0000","0.0000","014515","2016-06-02T01:45:15Z","424325","482641","160601_204600","-4.10","-112.632            ","-1.00","-5.83","21.71","-33.88","3.58","1.57","null","null","null","76.51","2634.00","5.82",447659
"FF",315,"2016-06-01","94.43     ","2.32","5.396","Corey Seager","608369","452657","Strikeout","Ball","157.364   ","2519.062  ","-28.8     ","2.9       ","13","Corey Seager strikes out swinging.  ","R ","L","L","CHC","LAD","B",0,0,0,0,2016,"4.84                  ","11.57               ","-1.364","1.9                 ","null","null","null",1,6,"top","0.0000","0.0000","014426","2016-06-02T01:44:26Z","424325","482641","160601_204507","-11.63","-136.73             ","-7.52","9.14","30.88","-10.26","3.58","1.57","null","null","null","94.21","2432.00","6.55",447659
"FF",470,"2016-06-01","94.58     ","2.092","5.344","Corey Seager","608369","452657","Groundout","Ball","154.178   ","2943.045  ","-42.5     ","2.7       ","13","Corey Seager grounds out sharply, shortstop Addison Russell to first baseman Anthony Rizzo.  ","R ","L","L","CHC","LAD","B",6,4,0,1,2016,"6.42                  ","13.22               ","-2.697","1.319               ","null","null","null",1,9,"top","109.7700","151.4400","023635","2016-06-02T02:36:35Z","424325","482641","160601_213723","-15.14","-136.762            ","-9.50","12.09","31.80","-7.20","3.58","1.57","null","null","null","94.15","2248.00","6.56",447659
