18:10:59 -> Pitcher_IDs.csv not found
18:10:59 -> Populating pitcher ID#s from fangraphs
18:11:02 -> Successful query, finding number of pages in leaderboard
18:11:02 -> Num pages: 305
18:11:03 -> Parsing page 1 of 1
18:11:03 -> Done parsing, writing values to: Pitcher_IDs.csv
18:11:03 -> Pitcher ID#s populated
18:11:07 -> Pitcher ID#s already found in: Pitcher_IDs.csv
18:11:14 -> Pitcher ID#s already found in: Pitcher_IDs.csv
18:11:30 -> Pitcher_IDs.csv not found
18:11:30 -> Populating pitcher ID#s from fangraphs
18:11:31 -> Successful query, finding number of pages in leaderboard
18:11:31 -> Num pages: 305
18:11:33 -> Parsing page 1 of 305
18:11:35 -> Parsing page 2 of 305
18:11:36 -> Parsing page 3 of 305
18:11:38 -> Parsing page 4 of 305
18:11:40 -> Parsing page 5 of 305
18:11:41 -> Parsing page 6 of 305
18:11:43 -> Parsing page 7 of 305
18:11:45 -> Parsing page 8 of 305
18:11:46 -> Parsing page 9 of 305
18:11:48 -> Parsing page 10 of 305
18:11:50 -> Parsing page 11 of 305
18:11:51 -> Parsing page 12 of 305
18:11:53 -> Parsing page 13 of 305
18:11:55 -> Parsing page 14 of 305
18:11:57 -> Parsing page 15 of 305
18:12:00 -> Parsing page 16 of 305
18:12:06 -> Parsing page 17 of 305
18:12:08 -> Parsing page 18 of 305
18:12:09 -> Parsing page 19 of 305
18:12:11 -> Parsing page 20 of 305
18:12:13 -> Parsing page 21 of 305
18:12:14 -> Parsing page 22 of 305
18:12:16 -> Parsing page 23 of 305
18:12:18 -> Parsing page 24 of 305
18:12:19 -> Parsing page 25 of 305
18:12:21 -> Parsing page 26 of 305
18:12:23 -> Parsing page 27 of 305
18:12:24 -> Parsing page 28 of 305
18:12:26 -> Parsing page 29 of 305
18:12:28 -> Parsing page 30 of 305
18:12:29 -> Parsing page 31 of 305
18:12:31 -> Parsing page 32 of 305
18:12:33 -> Parsing page 33 of 305
18:12:34 -> Parsing page 34 of 305
18:12:36 -> Parsing page 35 of 305
18:12:38 -> Parsing page 36 of 305
18:12:39 -> Parsing page 37 of 305
18:12:41 -> Parsing page 38 of 305
18:12:42 -> Parsing page 39 of 305
18:12:44 -> Parsing page 40 of 305
18:12:45 -> Parsing page 41 of 305
18:12:47 -> Parsing page 42 of 305
18:12:49 -> Parsing page 43 of 305
18:12:50 -> Parsing page 44 of 305
18:12:52 -> Parsing page 45 of 305
18:12:54 -> Parsing page 46 of 305
18:12:55 -> Parsing page 47 of 305
18:12:57 -> Parsing page 48 of 305
18:12:58 -> Parsing page 49 of 305
18:13:00 -> Parsing page 50 of 305
18:13:02 -> Parsing page 51 of 305
18:13:03 -> Parsing page 52 of 305
18:13:05 -> Parsing page 53 of 305
18:13:07 -> Parsing page 54 of 305
18:13:08 -> Parsing page 55 of 305
18:13:10 -> Parsing page 56 of 305
18:13:12 -> Parsing page 57 of 305
18:13:14 -> Parsing page 58 of 305
18:13:15 -> Parsing page 59 of 305
18:13:17 -> Parsing page 60 of 305
18:13:18 -> Parsing page 61 of 305
18:13:20 -> Parsing page 62 of 305
18:13:22 -> Parsing page 63 of 305
18:13:23 -> Parsing page 64 of 305
18:13:25 -> Parsing page 65 of 305
18:13:26 -> Parsing page 66 of 305
18:13:28 -> Parsing page 67 of 305
18:13:29 -> Parsing page 68 of 305
18:13:31 -> Parsing page 69 of 305
18:13:33 -> Parsing page 70 of 305
18:13:34 -> Parsing page 71 of 305
18:13:36 -> Parsing page 72 of 305
18:13:37 -> Parsing page 73 of 305
18:13:39 -> Parsing page 74 of 305
18:13:41 -> Parsing page 75 of 305
18:13:43 -> Parsing page 76 of 305
18:13:44 -> Parsing page 77 of 305
18:13:46 -> Parsing page 78 of 305
18:13:48 -> Parsing page 79 of 305
18:13:49 -> Parsing page 80 of 305
18:13:51 -> Parsing page 81 of 305
18:13:52 -> Parsing page 82 of 305
18:13:54 -> Parsing page 83 of 305
18:13:55 -> Parsing page 84 of 305
18:13:57 -> Parsing page 85 of 305
18:13:59 -> Parsing page 86 of 305
18:14:00 -> Parsing page 87 of 305
18:14:02 -> Parsing page 88 of 305
18:14:04 -> Parsing page 89 of 305
18:14:05 -> Parsing page 90 of 305
18:14:07 -> Parsing page 91 of 305
18:14:08 -> Parsing page 92 of 305
18:14:10 -> Parsing page 93 of 305
18:14:12 -> Parsing page 94 of 305
18:14:13 -> Parsing page 95 of 305
18:14:15 -> Parsing page 96 of 305
18:14:16 -> Parsing page 97 of 305
18:14:18 -> Parsing page 98 of 305
18:14:20 -> Parsing page 99 of 305
18:14:21 -> Parsing page 100 of 305
18:14:23 -> Parsing page 101 of 305
18:14:24 -> Parsing page 102 of 305
18:14:26 -> Parsing page 103 of 305
18:14:28 -> Parsing page 104 of 305
18:14:30 -> Parsing page 105 of 305
18:14:32 -> Parsing page 106 of 305
18:14:33 -> Parsing page 107 of 305
18:14:35 -> Parsing page 108 of 305
18:14:38 -> Parsing page 109 of 305
18:14:39 -> Parsing page 110 of 305
18:14:41 -> Parsing page 111 of 305
18:14:43 -> Parsing page 112 of 305
18:14:44 -> Parsing page 113 of 305
18:14:46 -> Parsing page 114 of 305
18:14:48 -> Parsing page 115 of 305
18:14:49 -> Parsing page 116 of 305
18:14:51 -> Parsing page 117 of 305
18:14:53 -> Parsing page 118 of 305
18:14:55 -> Parsing page 119 of 305
18:14:56 -> Parsing page 120 of 305
18:14:58 -> Parsing page 121 of 305
18:15:00 -> Parsing page 122 of 305
18:15:01 -> Parsing page 123 of 305
18:15:03 -> Parsing page 124 of 305
18:15:05 -> Parsing page 125 of 305
18:15:06 -> Parsing page 126 of 305
18:15:08 -> Parsing page 127 of 305
18:15:10 -> Parsing page 128 of 305
18:15:11 -> Parsing page 129 of 305
18:15:13 -> Parsing page 130 of 305
18:15:15 -> Parsing page 131 of 305
18:15:16 -> Parsing page 132 of 305
18:15:18 -> Parsing page 133 of 305
18:15:20 -> Parsing page 134 of 305
18:15:24 -> Parsing page 135 of 305
18:15:26 -> Parsing page 136 of 305
18:15:27 -> Parsing page 137 of 305
18:15:29 -> Parsing page 138 of 305
18:15:30 -> Parsing page 139 of 305
18:15:32 -> Parsing page 140 of 305
18:15:34 -> Parsing page 141 of 305
18:15:35 -> Parsing page 142 of 305
18:15:37 -> Parsing page 143 of 305
18:15:38 -> Parsing page 144 of 305
18:15:40 -> Parsing page 145 of 305
18:15:42 -> Parsing page 146 of 305
18:15:43 -> Parsing page 147 of 305
18:15:45 -> Parsing page 148 of 305
18:15:47 -> Parsing page 149 of 305
18:15:48 -> Parsing page 150 of 305
18:15:50 -> Parsing page 151 of 305
18:15:52 -> Parsing page 152 of 305
18:15:54 -> Parsing page 153 of 305
18:15:56 -> Parsing page 154 of 305
18:15:58 -> Parsing page 155 of 305
18:16:00 -> Parsing page 156 of 305
18:16:03 -> Parsing page 157 of 305
18:16:04 -> Parsing page 158 of 305
18:16:06 -> Parsing page 159 of 305
18:16:08 -> Parsing page 160 of 305
18:16:10 -> Parsing page 161 of 305
18:16:12 -> Parsing page 162 of 305
18:16:14 -> Parsing page 163 of 305
18:16:15 -> Parsing page 164 of 305
18:16:17 -> Parsing page 165 of 305
18:16:19 -> Parsing page 166 of 305
18:16:20 -> Parsing page 167 of 305
18:16:22 -> Parsing page 168 of 305
18:16:24 -> Parsing page 169 of 305
18:16:25 -> Parsing page 170 of 305
18:16:27 -> Parsing page 171 of 305
18:16:29 -> Parsing page 172 of 305
18:16:31 -> Parsing page 173 of 305
18:16:32 -> Parsing page 174 of 305
18:16:34 -> Parsing page 175 of 305
18:16:35 -> Parsing page 176 of 305
18:16:37 -> Parsing page 177 of 305
18:16:39 -> Parsing page 178 of 305
18:16:40 -> Parsing page 179 of 305
18:16:42 -> Parsing page 180 of 305
18:16:44 -> Parsing page 181 of 305
18:16:46 -> Parsing page 182 of 305
18:16:47 -> Parsing page 183 of 305
18:16:49 -> Parsing page 184 of 305
18:16:50 -> Parsing page 185 of 305
18:16:52 -> Parsing page 186 of 305
18:16:54 -> Parsing page 187 of 305
18:16:55 -> Parsing page 188 of 305
18:16:57 -> Parsing page 189 of 305
18:16:59 -> Parsing page 190 of 305
18:17:00 -> Parsing page 191 of 305
18:17:02 -> Parsing page 192 of 305
18:17:03 -> Parsing page 193 of 305
18:17:05 -> Parsing page 194 of 305
18:17:06 -> Parsing page 195 of 305
18:17:08 -> Parsing page 196 of 305
18:17:10 -> Parsing page 197 of 305
18:17:11 -> Parsing page 198 of 305
18:17:13 -> Parsing page 199 of 305
18:17:14 -> Parsing page 200 of 305
18:17:16 -> Parsing page 201 of 305
18:17:18 -> Parsing page 202 of 305
18:17:19 -> Parsing page 203 of 305
18:17:21 -> Parsing page 204 of 305
18:17:23 -> Parsing page 205 of 305
18:17:24 -> Parsing page 206 of 305
18:17:27 -> Parsing page 207 of 305
18:17:30 -> Parsing page 208 of 305
18:17:32 -> Parsing page 209 of 305
18:17:33 -> Parsing page 210 of 305
18:17:35 -> Parsing page 211 of 305
18:17:36 -> Parsing page 212 of 305
18:17:38 -> Parsing page 213 of 305
18:17:40 -> Parsing page 214 of 305
18:17:41 -> Parsing page 215 of 305
18:17:43 -> Parsing page 216 of 305
18:17:45 -> Parsing page 217 of 305
18:17:46 -> Parsing page 218 of 305
18:17:48 -> Parsing page 219 of 305
18:17:50 -> Parsing page 220 of 305
18:17:51 -> Parsing page 221 of 305
18:17:53 -> Parsing page 222 of 305
18:17:54 -> Parsing page 223 of 305
18:17:56 -> Parsing page 224 of 305
18:17:58 -> Parsing page 225 of 305
18:17:59 -> Parsing page 226 of 305
18:18:01 -> Parsing page 227 of 305
18:18:03 -> Parsing page 228 of 305
18:18:04 -> Parsing page 229 of 305
18:18:06 -> Parsing page 230 of 305
18:18:08 -> Parsing page 231 of 305
18:18:09 -> Parsing page 232 of 305
18:18:11 -> Parsing page 233 of 305
18:18:12 -> Parsing page 234 of 305
18:18:14 -> Parsing page 235 of 305
18:18:16 -> Parsing page 236 of 305
18:18:17 -> Parsing page 237 of 305
18:18:19 -> Parsing page 238 of 305
18:18:21 -> Parsing page 239 of 305
18:18:22 -> Parsing page 240 of 305
18:18:24 -> Parsing page 241 of 305
18:18:25 -> Parsing page 242 of 305
18:18:27 -> Parsing page 243 of 305
18:18:29 -> Parsing page 244 of 305
18:18:30 -> Parsing page 245 of 305
18:18:32 -> Parsing page 246 of 305
18:18:34 -> Parsing page 247 of 305
18:18:35 -> Parsing page 248 of 305
18:18:37 -> Parsing page 249 of 305
18:18:39 -> Parsing page 250 of 305
18:18:40 -> Parsing page 251 of 305
18:18:43 -> Parsing page 252 of 305
18:18:44 -> Parsing page 253 of 305
18:18:46 -> Parsing page 254 of 305
18:18:47 -> Parsing page 255 of 305
18:18:49 -> Parsing page 256 of 305
18:18:51 -> Parsing page 257 of 305
18:18:53 -> Parsing page 258 of 305
18:18:54 -> Parsing page 259 of 305
18:18:56 -> Parsing page 260 of 305
18:18:57 -> Parsing page 261 of 305
18:18:59 -> Parsing page 262 of 305
18:19:02 -> Parsing page 263 of 305
18:19:05 -> Parsing page 264 of 305
18:19:06 -> Parsing page 265 of 305
18:19:08 -> Parsing page 266 of 305
18:19:09 -> Parsing page 267 of 305
18:19:11 -> Parsing page 268 of 305
18:19:13 -> Parsing page 269 of 305
18:19:14 -> Parsing page 270 of 305
18:19:16 -> Parsing page 271 of 305
18:19:17 -> Parsing page 272 of 305
18:19:19 -> Parsing page 273 of 305
18:19:20 -> Parsing page 274 of 305
18:19:22 -> Parsing page 275 of 305
18:19:23 -> Parsing page 276 of 305
18:19:25 -> Parsing page 277 of 305
18:19:26 -> Parsing page 278 of 305
18:19:28 -> Parsing page 279 of 305
18:19:29 -> Parsing page 280 of 305
18:19:31 -> Parsing page 281 of 305
18:19:33 -> Parsing page 282 of 305
18:19:35 -> Parsing page 283 of 305
18:19:37 -> Parsing page 284 of 305
18:19:38 -> Parsing page 285 of 305
18:19:40 -> Parsing page 286 of 305
18:19:41 -> Parsing page 287 of 305
18:19:43 -> Parsing page 288 of 305
18:19:45 -> Parsing page 289 of 305
18:19:46 -> Parsing page 290 of 305
18:19:48 -> Parsing page 291 of 305
18:19:50 -> Parsing page 292 of 305
18:19:52 -> Parsing page 293 of 305
18:19:53 -> Parsing page 294 of 305
18:19:56 -> Parsing page 295 of 305
18:19:57 -> Parsing page 296 of 305
18:19:59 -> Parsing page 297 of 305
18:20:00 -> Parsing page 298 of 305
18:20:02 -> Parsing page 299 of 305
18:20:03 -> Parsing page 300 of 305
18:20:05 -> Parsing page 301 of 305
18:20:06 -> Parsing page 302 of 305
18:20:08 -> Parsing page 303 of 305
18:20:10 -> Parsing page 304 of 305
18:20:12 -> Parsing page 305 of 305
18:20:12 -> Done parsing, writing values to: Pitcher_IDs.csv
18:20:12 -> Pitcher ID#s populated
18:33:30 -> Pitcher ID#s already found in: Pitcher_IDs.csv
18:33:30 -> Populating player ids from: Pitchers_All_1871_2016_MinIP_0.csv
18:34:08 -> Pitcher ID#s already found in: Pitcher_IDs.csv
18:34:08 -> Populating player ids from: Pitcher_IDs.csv
18:36:04 -> Pitcher ID#s already found in: Pitcher_IDs.csv
18:36:04 -> Populating pitcher ID#s from: Pitcher_IDs.csv
18:39:23 -> Pitcher ID#s already found in: Pitcher_IDs.csv
18:39:23 -> Populating pitcher ID#s from: Pitcher_IDs.csv
18:39:27 -> Pitcher ID#s already found in: Pitcher_IDs.csv
18:39:27 -> Populating pitcher ID#s from: Pitcher_IDs.csv
18:39:41 -> Pitcher_IDs.csv not found
18:39:41 -> Populating pitcher ID#s from fangraphs
18:39:44 -> Successful query, finding number of pages in leaderboard
18:39:44 -> Num pages: 305
18:39:46 -> Parsing page 1 of 305
18:39:47 -> Parsing page 2 of 305
