10:56:54 -> Populating pitcher ID#s
10:56:56 -> Successful query, finding number of pages in pitching leaderboard
10:56:56 -> Num pages in pitching leaderboard: 305 
10:56:58 -> Parsing page 1 of 305 (Pitchers leaderboard)
10:56:59 -> Parsing page 2 of 305 (Pitchers leaderboard)
10:57:01 -> Parsing page 3 of 305 (Pitchers leaderboard)
10:57:02 -> Parsing page 4 of 305 (Pitchers leaderboard)
10:57:03 -> Parsing page 5 of 305 (Pitchers leaderboard)
10:57:05 -> Parsing page 6 of 305 (Pitchers leaderboard)
10:57:06 -> Parsing page 7 of 305 (Pitchers leaderboard)
10:57:08 -> Parsing page 8 of 305 (Pitchers leaderboard)
10:57:09 -> Parsing page 9 of 305 (Pitchers leaderboard)
10:57:11 -> Parsing page 10 of 305 (Pitchers leaderboard)
10:57:13 -> Parsing page 11 of 305 (Pitchers leaderboard)
10:57:15 -> Parsing page 12 of 305 (Pitchers leaderboard)
10:57:16 -> Parsing page 13 of 305 (Pitchers leaderboard)
10:57:17 -> Parsing page 14 of 305 (Pitchers leaderboard)
10:57:19 -> Parsing page 15 of 305 (Pitchers leaderboard)
10:57:20 -> Parsing page 16 of 305 (Pitchers leaderboard)
10:57:22 -> Parsing page 17 of 305 (Pitchers leaderboard)
10:57:24 -> Parsing page 18 of 305 (Pitchers leaderboard)
10:57:25 -> Parsing page 19 of 305 (Pitchers leaderboard)
10:57:26 -> Parsing page 20 of 305 (Pitchers leaderboard)
10:57:28 -> Parsing page 21 of 305 (Pitchers leaderboard)
10:57:29 -> Parsing page 22 of 305 (Pitchers leaderboard)
10:57:31 -> Parsing page 23 of 305 (Pitchers leaderboard)
10:57:32 -> Parsing page 24 of 305 (Pitchers leaderboard)
10:57:33 -> Parsing page 25 of 305 (Pitchers leaderboard)
10:57:35 -> Parsing page 26 of 305 (Pitchers leaderboard)
10:57:36 -> Parsing page 27 of 305 (Pitchers leaderboard)
10:57:37 -> Parsing page 28 of 305 (Pitchers leaderboard)
10:57:39 -> Parsing page 29 of 305 (Pitchers leaderboard)
10:57:40 -> Parsing page 30 of 305 (Pitchers leaderboard)
10:57:42 -> Parsing page 31 of 305 (Pitchers leaderboard)
10:57:43 -> Parsing page 32 of 305 (Pitchers leaderboard)
10:57:44 -> Parsing page 33 of 305 (Pitchers leaderboard)
10:57:46 -> Parsing page 34 of 305 (Pitchers leaderboard)
10:57:47 -> Parsing page 35 of 305 (Pitchers leaderboard)
10:57:49 -> Parsing page 36 of 305 (Pitchers leaderboard)
10:57:50 -> Parsing page 37 of 305 (Pitchers leaderboard)
10:57:52 -> Parsing page 38 of 305 (Pitchers leaderboard)
10:57:53 -> Parsing page 39 of 305 (Pitchers leaderboard)
10:57:55 -> Parsing page 40 of 305 (Pitchers leaderboard)
10:57:57 -> Parsing page 41 of 305 (Pitchers leaderboard)
10:57:58 -> Parsing page 42 of 305 (Pitchers leaderboard)
10:58:00 -> Parsing page 43 of 305 (Pitchers leaderboard)
10:58:01 -> Parsing page 44 of 305 (Pitchers leaderboard)
10:58:03 -> Parsing page 45 of 305 (Pitchers leaderboard)
10:58:04 -> Parsing page 46 of 305 (Pitchers leaderboard)
10:58:05 -> Parsing page 47 of 305 (Pitchers leaderboard)
10:58:07 -> Parsing page 48 of 305 (Pitchers leaderboard)
10:58:08 -> Parsing page 49 of 305 (Pitchers leaderboard)
10:58:10 -> Parsing page 50 of 305 (Pitchers leaderboard)
10:58:11 -> Parsing page 51 of 305 (Pitchers leaderboard)
10:58:13 -> Parsing page 52 of 305 (Pitchers leaderboard)
10:58:15 -> Parsing page 53 of 305 (Pitchers leaderboard)
10:58:16 -> Parsing page 54 of 305 (Pitchers leaderboard)
10:58:18 -> Parsing page 55 of 305 (Pitchers leaderboard)
10:58:19 -> Parsing page 56 of 305 (Pitchers leaderboard)
10:58:21 -> Parsing page 57 of 305 (Pitchers leaderboard)
10:58:23 -> Parsing page 58 of 305 (Pitchers leaderboard)
10:58:24 -> Parsing page 59 of 305 (Pitchers leaderboard)
10:58:26 -> Parsing page 60 of 305 (Pitchers leaderboard)
10:58:27 -> Parsing page 61 of 305 (Pitchers leaderboard)
10:58:29 -> Parsing page 62 of 305 (Pitchers leaderboard)
10:58:30 -> Parsing page 63 of 305 (Pitchers leaderboard)
10:58:32 -> Parsing page 64 of 305 (Pitchers leaderboard)
10:58:33 -> Parsing page 65 of 305 (Pitchers leaderboard)
10:58:35 -> Parsing page 66 of 305 (Pitchers leaderboard)
10:58:36 -> Parsing page 67 of 305 (Pitchers leaderboard)
10:58:38 -> Parsing page 68 of 305 (Pitchers leaderboard)
10:58:40 -> Parsing page 69 of 305 (Pitchers leaderboard)
10:58:42 -> Parsing page 70 of 305 (Pitchers leaderboard)
10:58:43 -> Parsing page 71 of 305 (Pitchers leaderboard)
10:58:45 -> Parsing page 72 of 305 (Pitchers leaderboard)
10:58:46 -> Parsing page 73 of 305 (Pitchers leaderboard)
10:58:48 -> Parsing page 74 of 305 (Pitchers leaderboard)
10:58:49 -> Parsing page 75 of 305 (Pitchers leaderboard)
10:58:51 -> Parsing page 76 of 305 (Pitchers leaderboard)
10:58:52 -> Parsing page 77 of 305 (Pitchers leaderboard)
10:58:54 -> Parsing page 78 of 305 (Pitchers leaderboard)
10:58:55 -> Parsing page 79 of 305 (Pitchers leaderboard)
10:58:57 -> Parsing page 80 of 305 (Pitchers leaderboard)
10:58:58 -> Parsing page 81 of 305 (Pitchers leaderboard)
10:59:00 -> Parsing page 82 of 305 (Pitchers leaderboard)
10:59:06 -> Parsing page 83 of 305 (Pitchers leaderboard)
10:59:09 -> Parsing page 84 of 305 (Pitchers leaderboard)
10:59:11 -> Parsing page 85 of 305 (Pitchers leaderboard)
10:59:12 -> Parsing page 86 of 305 (Pitchers leaderboard)
10:59:14 -> Parsing page 87 of 305 (Pitchers leaderboard)
10:59:15 -> Parsing page 88 of 305 (Pitchers leaderboard)
10:59:17 -> Parsing page 89 of 305 (Pitchers leaderboard)
10:59:18 -> Parsing page 90 of 305 (Pitchers leaderboard)
10:59:20 -> Parsing page 91 of 305 (Pitchers leaderboard)
10:59:21 -> Parsing page 92 of 305 (Pitchers leaderboard)
10:59:22 -> Parsing page 93 of 305 (Pitchers leaderboard)
10:59:24 -> Parsing page 94 of 305 (Pitchers leaderboard)
10:59:25 -> Parsing page 95 of 305 (Pitchers leaderboard)
10:59:27 -> Parsing page 96 of 305 (Pitchers leaderboard)
10:59:28 -> Parsing page 97 of 305 (Pitchers leaderboard)
10:59:30 -> Parsing page 98 of 305 (Pitchers leaderboard)
10:59:31 -> Parsing page 99 of 305 (Pitchers leaderboard)
10:59:33 -> Parsing page 100 of 305 (Pitchers leaderboard)
10:59:34 -> Parsing page 101 of 305 (Pitchers leaderboard)
10:59:36 -> Parsing page 102 of 305 (Pitchers leaderboard)
10:59:37 -> Parsing page 103 of 305 (Pitchers leaderboard)
10:59:38 -> Parsing page 104 of 305 (Pitchers leaderboard)
10:59:40 -> Parsing page 105 of 305 (Pitchers leaderboard)
10:59:41 -> Parsing page 106 of 305 (Pitchers leaderboard)
10:59:42 -> Parsing page 107 of 305 (Pitchers leaderboard)
10:59:44 -> Parsing page 108 of 305 (Pitchers leaderboard)
10:59:45 -> Parsing page 109 of 305 (Pitchers leaderboard)
10:59:47 -> Parsing page 110 of 305 (Pitchers leaderboard)
10:59:48 -> Parsing page 111 of 305 (Pitchers leaderboard)
10:59:50 -> Parsing page 112 of 305 (Pitchers leaderboard)
10:59:51 -> Parsing page 113 of 305 (Pitchers leaderboard)
10:59:52 -> Parsing page 114 of 305 (Pitchers leaderboard)
10:59:54 -> Parsing page 115 of 305 (Pitchers leaderboard)
10:59:55 -> Parsing page 116 of 305 (Pitchers leaderboard)
10:59:57 -> Parsing page 117 of 305 (Pitchers leaderboard)
10:59:58 -> Parsing page 118 of 305 (Pitchers leaderboard)
11:00:00 -> Parsing page 119 of 305 (Pitchers leaderboard)
11:00:01 -> Parsing page 120 of 305 (Pitchers leaderboard)
11:00:03 -> Parsing page 121 of 305 (Pitchers leaderboard)
11:00:04 -> Parsing page 122 of 305 (Pitchers leaderboard)
11:00:06 -> Parsing page 123 of 305 (Pitchers leaderboard)
11:00:08 -> Parsing page 124 of 305 (Pitchers leaderboard)
11:00:09 -> Parsing page 125 of 305 (Pitchers leaderboard)
11:00:11 -> Parsing page 126 of 305 (Pitchers leaderboard)
11:00:13 -> Parsing page 127 of 305 (Pitchers leaderboard)
11:00:15 -> Parsing page 128 of 305 (Pitchers leaderboard)
11:00:18 -> Parsing page 129 of 305 (Pitchers leaderboard)
11:00:20 -> Parsing page 130 of 305 (Pitchers leaderboard)
11:00:22 -> Parsing page 131 of 305 (Pitchers leaderboard)
11:00:23 -> Parsing page 132 of 305 (Pitchers leaderboard)
11:00:25 -> Parsing page 133 of 305 (Pitchers leaderboard)
11:00:26 -> Parsing page 134 of 305 (Pitchers leaderboard)
11:00:28 -> Parsing page 135 of 305 (Pitchers leaderboard)
11:00:29 -> Parsing page 136 of 305 (Pitchers leaderboard)
11:00:31 -> Parsing page 137 of 305 (Pitchers leaderboard)
11:00:32 -> Parsing page 138 of 305 (Pitchers leaderboard)
11:00:34 -> Parsing page 139 of 305 (Pitchers leaderboard)
11:00:36 -> Parsing page 140 of 305 (Pitchers leaderboard)
11:00:38 -> Parsing page 141 of 305 (Pitchers leaderboard)
11:00:39 -> Parsing page 142 of 305 (Pitchers leaderboard)
11:00:41 -> Parsing page 143 of 305 (Pitchers leaderboard)
11:00:42 -> Parsing page 144 of 305 (Pitchers leaderboard)
11:00:44 -> Parsing page 145 of 305 (Pitchers leaderboard)
11:00:45 -> Parsing page 146 of 305 (Pitchers leaderboard)
11:00:47 -> Parsing page 147 of 305 (Pitchers leaderboard)
11:00:48 -> Parsing page 148 of 305 (Pitchers leaderboard)
11:00:50 -> Parsing page 149 of 305 (Pitchers leaderboard)
11:00:51 -> Parsing page 150 of 305 (Pitchers leaderboard)
11:00:53 -> Parsing page 151 of 305 (Pitchers leaderboard)
11:00:54 -> Parsing page 152 of 305 (Pitchers leaderboard)
11:00:56 -> Parsing page 153 of 305 (Pitchers leaderboard)
11:00:57 -> Parsing page 154 of 305 (Pitchers leaderboard)
11:00:58 -> Parsing page 155 of 305 (Pitchers leaderboard)
11:01:00 -> Parsing page 156 of 305 (Pitchers leaderboard)
11:01:01 -> Parsing page 157 of 305 (Pitchers leaderboard)
11:01:03 -> Parsing page 158 of 305 (Pitchers leaderboard)
11:01:04 -> Parsing page 159 of 305 (Pitchers leaderboard)
11:01:06 -> Parsing page 160 of 305 (Pitchers leaderboard)
11:01:07 -> Parsing page 161 of 305 (Pitchers leaderboard)
11:01:09 -> Parsing page 162 of 305 (Pitchers leaderboard)
11:01:11 -> Parsing page 163 of 305 (Pitchers leaderboard)
11:01:12 -> Parsing page 164 of 305 (Pitchers leaderboard)
11:01:15 -> Parsing page 165 of 305 (Pitchers leaderboard)
11:01:17 -> Parsing page 166 of 305 (Pitchers leaderboard)
11:01:18 -> Parsing page 167 of 305 (Pitchers leaderboard)
11:01:20 -> Parsing page 168 of 305 (Pitchers leaderboard)
11:01:22 -> Parsing page 169 of 305 (Pitchers leaderboard)
11:01:25 -> Parsing page 170 of 305 (Pitchers leaderboard)
11:01:26 -> Parsing page 171 of 305 (Pitchers leaderboard)
11:01:28 -> Parsing page 172 of 305 (Pitchers leaderboard)
11:01:29 -> Parsing page 173 of 305 (Pitchers leaderboard)
11:01:31 -> Parsing page 174 of 305 (Pitchers leaderboard)
11:01:33 -> Parsing page 175 of 305 (Pitchers leaderboard)
11:01:34 -> Parsing page 176 of 305 (Pitchers leaderboard)
11:01:36 -> Parsing page 177 of 305 (Pitchers leaderboard)
11:01:38 -> Parsing page 178 of 305 (Pitchers leaderboard)
11:01:40 -> Parsing page 179 of 305 (Pitchers leaderboard)
11:01:41 -> Parsing page 180 of 305 (Pitchers leaderboard)
11:01:43 -> Parsing page 181 of 305 (Pitchers leaderboard)
11:01:44 -> Parsing page 182 of 305 (Pitchers leaderboard)
11:01:46 -> Parsing page 183 of 305 (Pitchers leaderboard)
11:01:48 -> Parsing page 184 of 305 (Pitchers leaderboard)
11:01:49 -> Parsing page 185 of 305 (Pitchers leaderboard)
11:01:51 -> Parsing page 186 of 305 (Pitchers leaderboard)
11:01:52 -> Parsing page 187 of 305 (Pitchers leaderboard)
11:01:54 -> Parsing page 188 of 305 (Pitchers leaderboard)
11:01:56 -> Parsing page 189 of 305 (Pitchers leaderboard)
11:01:58 -> Parsing page 190 of 305 (Pitchers leaderboard)
11:01:59 -> Parsing page 191 of 305 (Pitchers leaderboard)
11:02:01 -> Parsing page 192 of 305 (Pitchers leaderboard)
11:02:03 -> Parsing page 193 of 305 (Pitchers leaderboard)
11:02:04 -> Parsing page 194 of 305 (Pitchers leaderboard)
11:02:06 -> Parsing page 195 of 305 (Pitchers leaderboard)
11:02:08 -> Parsing page 196 of 305 (Pitchers leaderboard)
11:02:09 -> Parsing page 197 of 305 (Pitchers leaderboard)
11:02:11 -> Parsing page 198 of 305 (Pitchers leaderboard)
11:02:12 -> Parsing page 199 of 305 (Pitchers leaderboard)
11:02:14 -> Parsing page 200 of 305 (Pitchers leaderboard)
11:02:15 -> Parsing page 201 of 305 (Pitchers leaderboard)
11:02:17 -> Parsing page 202 of 305 (Pitchers leaderboard)
11:02:18 -> Parsing page 203 of 305 (Pitchers leaderboard)
11:02:20 -> Parsing page 204 of 305 (Pitchers leaderboard)
11:02:22 -> Parsing page 205 of 305 (Pitchers leaderboard)
11:02:24 -> Parsing page 206 of 305 (Pitchers leaderboard)
11:02:26 -> Parsing page 207 of 305 (Pitchers leaderboard)
11:02:28 -> Parsing page 208 of 305 (Pitchers leaderboard)
11:02:30 -> Parsing page 209 of 305 (Pitchers leaderboard)
11:02:32 -> Parsing page 210 of 305 (Pitchers leaderboard)
11:02:34 -> Parsing page 211 of 305 (Pitchers leaderboard)
11:02:35 -> Parsing page 212 of 305 (Pitchers leaderboard)
11:02:37 -> Parsing page 213 of 305 (Pitchers leaderboard)
11:02:38 -> Parsing page 214 of 305 (Pitchers leaderboard)
11:02:40 -> Parsing page 215 of 305 (Pitchers leaderboard)
11:02:42 -> Parsing page 216 of 305 (Pitchers leaderboard)
11:02:43 -> Parsing page 217 of 305 (Pitchers leaderboard)
11:02:45 -> Parsing page 218 of 305 (Pitchers leaderboard)
11:02:46 -> Parsing page 219 of 305 (Pitchers leaderboard)
11:02:47 -> Parsing page 220 of 305 (Pitchers leaderboard)
11:02:49 -> Parsing page 221 of 305 (Pitchers leaderboard)
11:02:51 -> Parsing page 222 of 305 (Pitchers leaderboard)
11:02:52 -> Parsing page 223 of 305 (Pitchers leaderboard)
11:02:54 -> Parsing page 224 of 305 (Pitchers leaderboard)
11:02:55 -> Parsing page 225 of 305 (Pitchers leaderboard)
11:02:57 -> Parsing page 226 of 305 (Pitchers leaderboard)
11:02:58 -> Parsing page 227 of 305 (Pitchers leaderboard)
