Name,ID#
Jake Northrop,1009640
Jack Berly,1000884
Charlie Wacker,1013465
Samuel Tuivailala,13485
Sugar Marimon,6027
Chris Haney,192
Paul Edmondson,1003680
Chris Sale,10603
Sam Rice,1010900
Dick Jones,1006551
Lisalverto Bonilla,11266
Mel Bosser,1001216
Eric Raich,1010653
Dan Boitano,1001132
Tomo Ohka,788
Bill Reeder,1010763
Sandy Ullrich,1013272
Dick Joyce,1006635
Eric Weaver,1013695
Rudy Owens,5226
Sal Bando,1000505
Brian Bannister,5718
Eddie Watt,1013684
Jim Morrison,1009212
John Singleton,1012010
Brian Barber,1000525
Henry Clarke,1002286
Sarge Connally,1002513
Bill Foxen,1004275
Dave Patterson,1010060
Greg Booker,1001179
Steve Ridzik,1010950
Ruddy Lugo,2710
Barry Jones,1006526
Art Daney,1002965
Armando Roche,1011086
Daniel Stange,9404
Joe Vance,1013343
Art Smith,1012091
Paul Musser,1009408
Joe Ostrowski,1009887
Caleb Thielbar,10078
Johnson Fry,1004380
Con Murphy,1009349
Al Williams,1013970
Jim Fogarty,1004191
Hank Johnson,1006461
Mac Scarce,1011498
Darrin Winston,1014142
Guido Grilli,1005058
Joey Eischen,774
Earl Huckleberry,1006127
Hal Brown,1001520
Jair Jurrjens,5556
Bill Dammann,1002962
Kris Keller,473
Ernie Broglio,1001463
Oscar Jones,1006580
Joe Beimel,979
Hal Chase,1002163
Frank Loftus,1007702
Rollie Naylor,1009470
Darren Oliver,206
Bert Cole,1002412
Terry Enyart,1003793
Tyler Skaggs,10190
Red Donahue,1003373
Lucky Wright,1014287
Juan Dominguez,1796
Brian Meyer,1008822
Ken Cloude,1002362
Steve Ontiveros,1009826
Willie Fraser,1004306
Sam Edmonston,1003681
Chris Narveson,2141
Hal Jeffcoat,1006377
Al Schmelz,1011573
Joe Rogalski,1011127
Arnie Portocarrero,1010459
Clint Nageotte,2156
Frank Oberlin,1009679
Lloyd Brown,1001540
Bill Lohrman,1007709
Manny Parra,4279
Scott Olsen,4529
Kid Madden,1007942
Bob Schultz,1011626
Evan Scribner,7525
Bill Gallagher,1004446
Tom Klawitter,1006989
Don Carrithers,1001992
Don Robinson,1011061
Mat Latos,3815
Jim Handiboe,1005297
Gus Dorner,1003414
John Coleman,1002426
Kemp Wicker,1013919
Frank Williams,1013997
John Reccius,1010746
Walt Masterson,1008230
Thornton Lee,1007468
Bob Alexander,1000120
Jim Ray,1010726
Lyle Bigbee,1000957
Jake Hehl,1005585
Jay Pettibone,1010250
Jerry Dahlke,1002927
Bryan Hickerson,1005767
Gerry Pirtle,1010368
Blondie Purcell,1010569
Juan Cruz,273
Zach Lee,11468
Leo Hafford,1005193
Ariel Prieto,1010536
Sean O'Sullivan,9137
Clyde Shoun,1011934
Mark Calvert,1001853
Jay Ryan,1011340
Jimmie Foxx,1004285
Dana Fillingim,1004045
Jim Hughey,1006155
Pete Taylor,1012884
Herm Holshouser,1005982
Jason Vargas,8044
Dave Baldwin,1000477
Narciso Elvira,1003760
Tim Mauser,1008281
Johnny Allen,1000150
Gene Pentz,1010165
Ed Hovlik,1006069
John Smoltz,115
Glenn Dishman,1003324
Sid Monge,1009053
Sol Carter,1002022
Sergio Mitre,1773
Clayton Richard,3551
David Hale,9756
Tom Baker,1000468
Mike Saipe,1011374
Joe Sommer,1012275
Jamey Carroll,1591
Scott MacRae,1007935
Chuck Seelbach,1011718
Vince Horsman,1006033
Mort Flohr,1004164
Ed Green,1004992
Skinny Graham,1004935
Al LaMacchia,1007267
Louis Leroy,1007554
Kenny Rogers,1277
Miguel Gonzalez,15675
Randy Lerch,1007551
Jacob deGrom,10954
Trevor May,6398
Jimmy Uchrinscko,1013261
Randy Williams,2362
Tippy Martinez,1008200
Christian Bergman,10925
Andrew Bellatti,10657
Mark Watson,1526
Joe Keener,1006755
